,user_input,context_recall,context_precision,faithfulness,semantic_similarity,answer_relevancy,answer_correctness
0,,0.9090909090909092,0.9583333333173611,0.8095238095238095,0.9054283103385758,0.9654586829090056,0.6684623407425386
1,,1.0,0.9150793650641136,0.9074074074074074,0.8766969026146281,0.949993897463544,0.773228279707711
2,,1.0,0.999999999975,0.9615384615384616,0.8984312952926489,0.9616062694249587,0.7651483643637028
3,,1.0,0.99999999995,0.9705882352941176,0.7632229712210954,0.9423071775114396,0.4486182428052738
4,,1.0,0.9093537414836076,0.8076923076923077,0.8898984361587606,0.9479367915830637,0.698084365137251
5,,1.0,0.9999999999875,1.0,0.9173850774198716,0.81969036901102,0.5131300531387517
6,,0.6666666666666666,0.4499999999775,0.9787234042553192,0.9019958211425424,0.8642681185709495,0.746551586864583
7,,0.8333333333333334,0.9999999999875,0.9411764705882352,0.917395473139452,0.9117659481183512,0.679348868284863
8,,1.0,0.6416666666538333,1.0,0.92212659286051,0.9646676457733584,0.5249241715796135
9,,0.875,0.999999999975,1.0,0.960254333526948,0.9623336551368348,0.6079881116836239
10,,1.0,0.7916666666402777,0.8636363636363636,0.900219940128135,0.8994843235407742,0.8799845624968226
11,,1.0,0.7749999999806251,0.875,0.9269606056767716,0.8224490482453738,0.9817401514191928
12,,0.9,0.99999999995,1.0,0.8987039613922387,0.9620369882036248,0.7121759903480598
13,,0.5555555555555556,0.99999999995,0.8,0.9298694423969832,0.902922226384396,0.5574673605992457
14,,0.7142857142857143,0.4166666666458333,0.813953488372093,0.8546326833584696,0.960998241591295,0.5350867422681889
15,,1.0,0.9999999999857144,0.8666666666666667,0.8754306949290791,0.9243381319786688,0.6506758555504517
16,,1.0,0.9999999999833332,0.8431372549019608,0.9440780422997568,0.890434571936101,0.8100935846490134
17,,0.625,0.6666666666444444,0.6071428571428571,0.8699517747348986,0.9485374307476984,0.4258212770170579
18,,0.75,0.6999999999766667,0.875,0.9369590951410468,0.9188904754619786,0.596308739302503
19,,1.0,0.9999999999875,0.9516129032258064,0.9112495129705482,0.9454247474667083,0.8141760146062735
20,,0.3333333333333333,0.7099999999858001,0.717391304347826,0.8777049597889218,0.9195192092330368,0.3103353308563213
21,,0.5,0.0,0.8823529411764706,0.8774563185454065,0.9697296618893112,0.8121060151202226
22,,0.25,0.9999999999666668,0.84,0.9349691493251304,0.9448542308071796,0.8368350708364372
23,,0.5714285714285714,0.62499999996875,0.9019607843137256,0.8203964627820877,0.9719298578788828,0.6990015547199122
24,,0.4444444444444444,0.0,1.0,0.8424638315192405,0.9921017636265844,0.4079843789324417
